step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
277,8142144,17728,0.014178305526567988,0.578125,0.578125,,,,,,,,,
278,8173440,17792,0.013255499199131793,0.703125,0.703125,,,,,,,,,
279,8208832,17856,0.01221224579546452,0.71875,0.71875,,,,,,,,,
280,8233472,17920,0.01571574744702976,0.640625,0.640625,,,,,,,,,
281,8265792,17984,0.012355744209603824,0.734375,0.734375,0.014319353214531217,0.71875,0.71875,,,,,,
282,8297600,18048,0.01275844018821105,0.640625,0.640625,,,,,,,,,
283,8335040,18112,0.01123236724410381,0.625,0.625,,,,,,,,,
284,8363264,18176,0.0142807205359598,0.640625,0.640625,,,,,,,,,
285,8390464,18240,0.01659678392685533,0.703125,0.703125,,,,,,,,,
286,8425856,18304,0.012202134733933376,0.734375,0.734375,,,,,,,,,
287,8452544,18368,0.01604124149837561,0.65625,0.65625,,,,,,,,,
288,8479232,18432,0.01591981922489266,0.734375,0.734375,,,,,,,,,
289,8513088,18496,0.011307009058710215,0.734375,0.734375,0.0175151307028939,0.71875,0.71875,,,,,,
290,8540288,18560,0.015690178038761066,0.703125,0.703125,,,,,,,,,
291,8568000,18624,0.01494787912060185,0.671875,0.671875,,,,,,,,,
292,8597248,18688,0.013568385733507616,0.6875,0.6875,,,,,,,,,
293,8629568,18752,0.012879919578841756,0.671875,0.671875,,,,,,,,,
294,8653696,18816,0.01753009380495662,0.640625,0.640625,,,,,,,,,
295,8681408,18880,0.015993840096857677,0.625,0.625,,,,,,,,,
296,8717312,18944,0.011352885135072382,0.734375,0.734375,,,,,,,,,
297,8745024,19008,0.01517631706826317,0.734375,0.734375,0.015579716981024077,0.671875,0.671875,,,,,,
298,8772736,19072,0.016312499544624583,0.734375,0.734375,,,,,,,,,
299,8798912,19136,0.01615519212207601,0.671875,0.671875,,,,,,,,,
300,8830208,19200,0.013653934062425073,0.578125,0.578125,,,,,,,,,
301,8857408,19264,0.015709313820554675,0.59375,0.59375,,,,,,,,,
302,8892800,19328,0.011458451489128454,0.609375,0.609375,,,,,,,,,
303,8920000,19392,0.015466090306678133,0.625,0.625,,,,,,,,,
304,8947200,19456,0.015136744238991048,0.71875,0.71875,,,,,,,,,
305,8977472,19520,0.013613314950170157,0.671875,0.671875,0.018106151399373122,0.6875,0.6875,,,,,,
306,9002624,19584,0.016721177174694585,0.703125,0.703125,,,,,,,,,
307,9032896,19648,0.014379026927525816,0.6875,0.6875,,,,,,,,,
308,9060096,19712,0.014960103067061352,0.671875,0.671875,,,,,,,,,
309,9086784,19776,0.015629701810752208,0.59375,0.59375,,,,,,,,,
310,9114496,19840,0.01587011808838757,0.609375,0.609375,,,,,,,,,
311,9145280,19904,0.015133702148073292,0.671875,0.671875,,,,,,,,,
312,9172992,19968,0.014661097591604425,0.6875,0.6875,,,,,,,,,
313,9199680,20032,0.016478456962656537,0.75,0.75,0.014700533017760633,0.6875,0.6875,,,,,,
314,9229440,20096,0.01293493090820058,0.65625,0.65625,,,,,,,,,
315,9255104,20160,0.015109048553119321,0.6875,0.6875,,,,,,,,,
316,9283840,20224,0.01513427114294073,0.703125,0.703125,,,,,,,,,
317,9315136,20288,0.013462206590330844,0.609375,0.609375,,,,,,,,,
318,9339264,20352,0.018439963291440854,0.640625,0.640625,,,,,,,,,
319,9366464,20416,0.014782691364981197,0.640625,0.640625,,,,,,,,,
320,9404928,20480,0.011421605558629701,0.75,0.75,,,,,,,,,
321,9438784,20544,0.012195109938327205,0.65625,0.65625,0.013367861601775746,0.84375,0.84375,,,,,,
322,9465984,20608,0.015045822032367599,0.671875,0.671875,,,,,,,,,
323,9490112,20672,0.018176510709699677,0.671875,0.671875,,,,,,,,,
324,9514240,20736,0.017389326258292752,0.625,0.625,,,,,,,,,
325,9539392,20800,0.01675656328545951,0.609375,0.609375,,,,,,,,,
326,9579904,20864,0.00979954641879781,0.59375,0.59375,,,,,,,,,
327,9607104,20928,0.014971142282894432,0.734375,0.734375,,,,,,,,,
328,9634816,20992,0.01612910162227592,0.65625,0.65625,,,,,,,,,
329,9663040,21056,0.01549896265525139,0.671875,0.671875,0.015345645379626892,0.8125,0.8125,,,,,,
330,9695872,21120,0.013728516661108678,0.765625,0.765625,,,,,,,,,
331,9725632,21184,0.013539300628557092,0.734375,0.734375,,,,,,,,,
332,9757952,21248,0.013051577020144827,0.734375,0.734375,,,,,,,,,
333,9785664,21312,0.014713608308370492,0.6875,0.6875,,,,,,,,,
334,9815424,21376,0.01613076855885921,0.671875,0.671875,,,,,,,,,
335,9866176,21440,0.009271800705210059,0.65625,0.65625,,,,,,,,,
336,9898496,21504,0.012708649965790022,0.703125,0.703125,,,,,,,,,
337,9926208,21568,0.01542210951932005,0.609375,0.609375,0.014949286338357097,0.6875,0.6875,,,,,,
338,9959552,21632,0.013474300506902988,0.75,0.75,,,,,,,,,
339,9986240,21696,0.015705452818655395,0.8125,0.8125,,,,,,,,,
340,10012928,21760,0.015026720925109226,0.734375,0.734375,,,,,,,,,
341,10042176,21824,0.01464928494825455,0.640625,0.640625,,,,,,,,,
342,10070912,21888,0.01368240546713544,0.703125,0.703125,,,,,,,,,
343,10097600,21952,0.01610299537471718,0.65625,0.65625,,,,,,,,,
344,10123776,22016,0.015813884439136804,0.6875,0.6875,,,,,,,,,
345,10154048,22080,0.013733833365323725,0.75,0.75,0.015720176995306732,0.65625,0.65625,,,,,,
346,10184320,22144,0.014300829545348535,0.734375,0.734375,,,,,,,,,
347,10216128,22208,0.013782544355469436,0.75,0.75,,,,,,,,,
348,10241280,22272,0.01657989185787913,0.734375,0.734375,,,,,,,,,
